asin,brand,title,url,price,list_price,discount_pct,rating,rating_count,review_count,image_url,bullet_features,category_hint
B0BDIVUZZP,American Tourister,American Tourister Burgundy ABS Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0QK51FPKH,3950.0,6380.0,38.1,4.2,5037,683,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0S4F8CGVY,American Tourister,American Tourister White PC+ABS Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0IE6IVWPV,9240.0,14600.0,36.7,3.8,4985,737,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0479T6VXD,American Tourister,American Tourister Polyester Softside Luggage Combo (Cabin + Medium + Large) - Grey,https://www.amazon.in/dp/B0P5GJLQM5,5890.0,11060.0,46.7,3.9,6132,475,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0OJTPV60V,American Tourister,American Tourister White PC+ABS Hardside Trolley Bag - Large (28 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0AIY4VA13,5310.0,10430.0,49.1,3.7,2691,492,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B05EQY08P0,American Tourister,American Tourister Nylon Softside Luggage Set of 3 (Cabin + Medium + Large) - Burgundy,https://www.amazon.in/dp/B0FODRO8BN,2340.0,6390.0,63.4,4.1,996,109,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0XFDJGF1C,American Tourister,American Tourister Olive Polycarbonate Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B08WQUUY5X,9120.0,16730.0,45.5,4.5,6158,1145,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B020CV3TLC,American Tourister,American Tourister Nylon Softside Luggage Combo (Cabin + Medium + Large) - Champagne,https://www.amazon.in/dp/B0XLVPYMB5,8840.0,17650.0,49.9,3.5,4453,495,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0LRQVSLWF,American Tourister,American Tourister Grey PC+ABS Hardside Trolley Bag - Medium (24 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B090KM3TZK,7160.0,11250.0,36.4,4.2,1322,248,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B0K0AXYCEL,American Tourister,American Tourister Red Nylon Softside Trolley Bag - Medium (24 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0OS6ZLE6K,11100.0,17130.0,35.2,4.0,2387,287,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B036DDFGS3,American Tourister,American Tourister Polycarbonate Hardside Luggage Combo (Cabin + Medium + Large) - Black,https://www.amazon.in/dp/B0JONOU9IY,6620.0,11730.0,43.6,4.4,4314,655,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0T2M6TWD1,American Tourister,American Tourister Red Nylon Softside Trolley Bag - Large (28 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0XMXB9YO1,1940.0,5500.0,64.7,3.9,4350,645,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B0JN6FOKZI,Skybags,Skybags Red Polyester Softside Trolley Bag - Medium (65 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0XZAREIYA,4270.0,12680.0,66.3,4.1,914,137,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B0V7C9HX3D,Skybags,Skybags Black ABS Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B043E7B7P0,2680.0,5580.0,52.0,3.8,838,115,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B043PT5R5R,Skybags,Skybags Navy Blue Polyester Softside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0C6ZS62YW,5790.0,13690.0,57.7,3.3,4685,296,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
